year,date,time,Customer_id,name,address,phone,email,mango,orange,banana
2023,2023-06-1,04:55,W9X27P,ahmed ,kharader,123.0,abc@gmail.com,0,0,0
2023,2023-06-4,04:55,W9X27P,ahmed ,kharader,123.0,abc@gmail.com,0,0,0
2023,2023-06-12,20:09,19PX43,ghazanfar,kharader,123,abc@gmail.com,8,0,0
2023,2023-06-14,22:09,19PX43,ghazanfar,kharader,123,abc@gmail.com,8,0,0
2023,2023-06-14,20:52,5NLHDU,ahmed ,kharader,123,khanzadaahmedraza@gmail.com,2,0,4
2023,2023-06-15,03:25,W9X27P,ahmed ,kharader,123,abc@gmail.com,3,8,10
2023,2023-06-15,04:28,W9X27P,ahmed ,kharader,123,abc@gmail.com,10,10,0
2023,2023-06-15,04:54,W9X27P,ahmed ,kharader,123.0,abc@gmail.com,0,10,0
2023,2023-06-15,04:55,W9X27P,ahmed ,kharader,123.0,abc@gmail.com,0,0,0
2023,2023-06-15,04:55,W9X27P,asalam ,khrader,1255456.0,adlnjbc@gmail.com,7,0,5
